method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_idx,rule_id,severity,blue_action_name,blue_target_hostname,blue_target_subnet,red_action_name,red_target_hostname,critical_state_before,critical_state_after,compromised_hosts_before,compromised_hosts_after,response_context
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,0,7,99,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0"", ""User3""]","[""Enterprise0"", ""Op_Server0"", ""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": 97, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 96, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,0,7,91,Q4_user_focus_after_enterprise_foothold,medium,DecoySvchost,User1,User,DiscoverNetworkServices,,[],[],"[""Enterprise0"", ""Enterprise2"", ""User0"", ""User3""]","[""Enterprise0"", ""Enterprise2"", ""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": 97, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 96, ""window_end"": 93, ""window_start"": 91}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,0,7,10,Q5_repeated_low_value_decoy_loop,medium,DecoySvchost,User1,User,PrivilegeEscalate,Enterprise2,[],[],"[""Enterprise0"", ""Enterprise2"", ""User0"", ""User3""]","[""Enterprise0"", ""Enterprise2"", ""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": 97, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 96, ""window_end"": 16, ""window_start"": 7}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,0,7,85,Q5_repeated_low_value_decoy_loop,medium,DecoyHarakaSMPT,User1,User,ExploitRemoteService,,[],[],"[""Enterprise0"", ""User0"", ""User3""]","[""Enterprise0"", ""Enterprise2"", ""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": 97, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 96, ""window_end"": 94, ""window_start"": 85}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,1,1007,35,Q2_user_action_during_critical_breach,high,Restore,User3,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0"", ""User3""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 29, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 28, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,1,1007,36,Q2_user_action_during_critical_breach,high,DecoyHarakaSMPT,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 29, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 28, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,1,1007,37,Q2_user_action_during_critical_breach,high,DecoySvchost,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 29, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 28, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,1,1007,38,Q2_user_action_during_critical_breach,high,DecoyApache,User2,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 29, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 28, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,1,1007,40,Q2_user_action_during_critical_breach,high,DecoySvchost,User1,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 29, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 28, ""window_end"": null, ""window_start"": null}"
ours_stage2_fair_critical_safe_v2_1_4obj,7,stage2_ext_006_obj_1,critical_safe_balanced_selected,episode_000,1,1007,44,Q2_user_action_during_critical_breach,high,DecoyApache,User2,User,Impact,Op_Server0,"[""Op_Server0""]","[""Op_Server0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","[""Enterprise0"", ""Op_Server0"", ""User0""]","{""blue_first_relevant_response_after_critical"": 29, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 28, ""window_end"": null, ""window_start"": null}"
