policy_id,best_level_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,final_critical_compromised_hosts,high_disruption_action_rate,margin_L0,margin_L1,margin_L2,margin_L3,margin_STRICT
stage1_pref_000_ckpt_096,,mean_violation,high_disruption,-119.3711929321289,-25.450000762939453,6.362124443054199,0.725,0.93575,-4.089699554443359,-5.362124443054199,-5.612124443054199,-5.7621244430542,-5.862124443054199
stage1_pref_000_ckpt_191,,mean_violation,high_disruption,-105.75480651855469,-30.629247665405273,10.504000663757324,0.45,0.9855,-7.40320053100586,-9.504000663757324,-9.754000663757324,-9.904000663757325,-10.004000663757324
stage1_pref_001_ckpt_191,,mean_violation,high_disruption,-134.4746856689453,-16.500751495361328,9.805998802185059,1.0,0.61475,-6.844799041748047,-8.805998802185059,-9.055998802185059,-9.205998802185059,-9.305998802185059
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86062622070312,-0.03700000047683716,38.860618591308594,1.0,0.00175,-30.088494873046876,-37.860618591308594,-38.110618591308594,-38.26061859130859,-38.360618591308594
stage1_pref_003_ckpt_191,,mean_violation,high_disruption,-119.34062194824219,-29.102752685546875,10.148625373840332,0.65,0.9955,-7.118900299072266,-9.148625373840332,-9.398625373840332,-9.548625373840332,-9.648625373840332
stage1_pref_004_ckpt_191,,mean_violation,high_disruption,-134.75119018554688,-18.815000534057617,21.80900001525879,0.825,0.7245,-16.44720001220703,-20.80900001525879,-21.05900001525879,-21.209000015258788,-21.30900001525879
stage2_ext_003_obj_0,,mean_violation,high_disruption,-133.94256591796875,-17.501998901367188,8.942561149597168,1.0,0.66975,-6.154048919677734,-7.942561149597168,-8.192561149597168,-8.342561149597168,-8.442561149597168
stage2_ext_005_obj_0,,mean_violation,high_disruption,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939,-3.8473506927490235,-5.059188365936279,-5.309188365936279,-5.45918836593628,-5.559188365936279
stage2_ext_006_obj_1,,mean_violation,high_disruption,-104.29762268066406,-29.80950355529785,9.428937911987305,0.475,0.976,-6.543150329589844,-8.428937911987305,-8.678937911987305,-8.828937911987305,-8.928937911987305
stage2_ext_007_obj_0,,mean_violation,business,-163.88491821289062,-0.38350000977516174,38.88493347167969,1.0,0.01625,-30.10794677734375,-37.88493347167969,-38.13493347167969,-38.284933471679686,-38.38493347167969
stage2_ext_011_obj_0,,mean_violation,high_disruption,-140.9628143310547,-19.291751861572266,20.85793685913086,0.9,0.77675,-15.686349487304687,-19.85793685913086,-20.10793685913086,-20.257936859130858,-20.35793685913086
stage2_ext_013_obj_2,,mean_violation,business,-158.69406127929688,-12.463750839233398,33.98337173461914,0.975,0.4645,-26.18669738769531,-32.98337173461914,-33.23337173461914,-33.38337173461914,-33.48337173461914
